"","X","Experiment","Season","Plot","Site","Region","Landuse","Block","Blockcode","Samplecode","Treatment","Littertype","Teabag.code","Initial.weight.including.bag..cord.and.label..g.","Initial.weight.tea.only..g.","Ashed.subsample.percentage.controll.initial.tea.only....","Ashed.initial.corrected.weight..tea.only..g.","Final.weight.including.bag.and.cord..no.label..g.","Final.weight..tea.only..g.","Final.weight.tea.only..from.ash.protocol.","Ashed.final.subsample.percentage.....","Ashed.final.corrected.weight..tea.only..g.","Burial.date","Recovery.date","incubation.time.red.and.green.tea..days.","Massloss..g..Ash.uncorrected","Massloss..g.","N.D..tree..m.","N.D.Mound..m.","Mound.type","Tree.with.ants","Moisture..","Temperature..C.","Lat","Long","Sign.of.termite.cheeting","Sign.of.hole.s.","Sign.of.roots","S","K","Massloss.per","N.per","C.per","P.per..SUA.","C.N","P.per..NMBU.","CLAY..","SILT..","SAND..","Class","OC..","Claycorr","Siltcorr","Sandcorr","Rain.sum","Site.ID"
"1547",1547,"CG","Wet",203,"Maswa","Dry","Wild",1,"Dry_W1","Dry_W1_CG2","Open","Green","G645",2.238,1.988,5.51,1.879,0.809,0.659,0.604,11.067,0.538,"03.02.2017","20.03.2017",45,1.33,1.341,5.13,5.13,"O",1,27,28.4,-2.439645035,34.83836599,"NO","NO","YES",0.134179894,NA,71.3677488025546,0.23,2.96,11.19,12.86956522,0.33,47.96,22.92,29.12,"clay",2.88,53.805932,31.287688,14.854572,189.6394726,"Maswa"
"1548",1548,"CG","Wet",204,"Maswa","Dry","Wild",4,"Dry_W4","Dry_W4_CG3","Open","Green","G814",2.148,1.898,5.51,1.794,0.683,0.532,0.49,11.5,0.434,"03.02.2017","19.03.2017",44,1.366,1.36,7.9,7.9,"O",1,21.6,30.95,-2.439599019,34.83841896,"NO","NO","YES",0.162612596,NA,75.8082497212932,0.22,2.84,14.23,12.90909091,NA,28.15,25.09,46.77,"sandy clay loam",2.17,27.27638,33.053851,34.765537,189.6394726,"Maswa"
"1549",1549,"CG","Wet",205,"Mwantimba","Wet","Agriculture",1,"Wet_Ag1","Wet_Ag1_CG2","Open","Green","G621",1.925,1.675,5.51,1.583,0.741,0.59,0.525,22.042,0.409,"03.02.2017","20.03.2017",45,1.085,1.174,5.13,5.13,"O",1,24.45,26.3,-2.439645035,34.83836599,"NO","YES","YES",0.192648973,NA,74.1629816803538,0.13,1.56,32.75,12,NA,45.96,14.92,39.12,"clay",2.04,51.127532,24.776488,26.135572,206.8173452,"Mwantimba.ag"
"1550",1550,"CG","Wet",206,"Mwantimba","Wet","Agriculture",2,"Wet_Ag2","Wet_Ag2_CG1","Open","Green","G677",2.127,1.877,5.51,1.774,0.857,0.706,0.611,17.335,0.505,"03.02.2017","20.03.2017",45,1.171,1.269,13.8,17.4,"O",1,19.05,24.15,-2.439403972,34.83840496,"NO","NO","YES",0.117308334,NA,71.5332581736189,0.14,1.83,64.81,13.07142857,NA,34.34,19.23,46.43,"sandy clay loam",1.75,35.566028,28.284397,34.381983,206.8173452,"Mwantimba.ag"
"1551",1551,"CG","Wet",207,"Mwantimba","Wet","Agriculture",3,"Wet_Ag3","Wet_Ag3_CG4","Open","Green","G574",1.984,1.734,5.51,1.639,0.777,0.626,0.541,23.6,0.413,"03.02.2017","19.03.2017",44,1.108,1.225,15.2,12.2,"O",1,19.8,29.05,-2.439694991,34.83857403,"NO","NO","YES",0.103152238,NA,74.8017083587553,0.09,0.99,12.44,11,NA,27.96,4.92,67.12,"sandy clay loam",0.89,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.ag"
"1552",1552,"CG","Wet",208,"Mwantimba","Wet","Agriculture",4,"Wet_Ag4","Wet_Ag4_CG3","Open","Green","G710",2.027,1.777,5.51,1.679,0.91,0.759,0.631,18.435,0.515,"03.02.2017","19.03.2017",44,1.018,1.165,7.9,7.9,"O",1,22.2,27.45,-2.439599019,34.83841896,"NO","NO","YES",0.128757782,NA,69.3269803454437,0.12,1.43,12.58,11.91666667,NA,17.96,4.92,77.12,"sandy loam",2.02,13.629932,16.637488,69.003372,206.8173452,"Mwantimba.ag"
"1553",1553,"CG","Wet",209,"Mwantimba","Wet","Pasture",1,"Wet_P1","Wet_P1_CG2","Open","Green","G604",2.039,1.789,5.51,1.691,0.748,0.597,0.551,16.352,0.46,"03.02.2017","20.03.2017",45,1.192,1.23,5.13,5.13,"O",1,24.5,24.4,-2.439645035,34.83836599,"NO","NO","YES",0.163376609,NA,72.7971614429332,0.18,2.19,32.2,12.16666667,1.3,31.21,11.38,57.41,"sandy clay loam",1.73,31.374332,21.895282,46.768521,206.8173452,"Mwantimba.p"
"1554",1554,"CG","Wet",210,"Mwantimba","Wet","Pasture",2,"Wet_P2","Wet_P2_CG4","Open","Green","G871",2.068,1.818,5.51,1.718,0.831,0.681,0.604,17.063,0.501,"03.02.2017","19.03.2017",44,1.138,1.217,15.2,12.2,"O",1,22.4,28.4,-2.439694991,34.83857403,"NO","NO","YES",0.130996012,NA,70.8381839348079,0.19,2.07,15.06,10.89473684,NA,33.96,8.92,57.12,"sandy clay loam",2.07,35.057132,19.893088,46.441372,206.8173452,"Mwantimba.p"
"1555",1555,"CG","Wet",211,"Mwantimba","Wet","Pasture",3,"Wet_P3","Wet_P3_CG1","Open","Green","G822",2.02,1.77,5.51,1.673,0.857,0.706,0.623,17.247,0.516,"03.02.2017","20.03.2017",45,1.064,1.157,13.8,17.4,"O",1,16.85,23.95,-2.439403972,34.83840496,"NO","NO","YES",0.119489235,NA,69.157202630006,0.17,2.29,29.99,13.47058824,0.69,39.96,12.92,47.12,"sandy clay",1.65,43.092332,23.148688,35.160372,206.8173452,"Mwantimba.p"
"1556",1556,"CG","Wet",215,"Mwantimba","Wet","Pasture",4,"Wet_P4","Wet_P4_CG3","Open","Green","G786",2.097,1.847,5.51,1.745,0.864,0.714,0.648,12.519,0.567,"03.02.2017","19.03.2017",44,1.133,1.179,7.9,7.9,"O",1,22.45,27.45,-2.439599019,34.83841896,"NO","NO","NO",0.199614852,NA,67.5071633237822,0.16,2.41,49.2,15.0625,NA,27.96,4.92,67.12,"sandy clay loam",1.04,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.p"
"1557",1557,"CG","Wet",212,"Handajega","Wet","Wild",1,"Wet_W1","Wet_W1_CG4","Open","Green","G572",1.972,1.722,5.51,1.627,0.714,0.563,0.491,10.253,0.44,"03.02.2017","19.03.2017",44,1.159,1.187,15.2,12.2,"O",1,19.75,28.15,-2.439694991,34.83857403,"NO","NO","YES",0.136973401,NA,72.9563614013522,0.11,1.46,39.25,13.27272727,0.59,21.96,4.92,73.12,"sandy clay loam",1.24,18.986732,16.637488,64.490972,184.8119371,"Handajega"
"1558",1558,"CG","Wet",213,"Handajega","Wet","Wild",2,"Wet_W2","Wet_W2_CG3","Open","Green","G761",2.011,1.761,5.51,1.664,0.713,0.562,0.522,10.989,0.464,"03.02.2017","19.03.2017",44,1.199,1.2,7.9,7.9,"O",1,19.45,29.2,-2.439694991,34.83857403,"NO","NO","YES",0.125628485,NA,72.1153846153846,0.12,1.88,55.14,15.66666667,NA,23.96,4.92,71.12,"sandy clay loam",3.31,21.665132,16.637488,62.234772,184.8119371,"Handajega"
"1559",1559,"CG","Wet",214,"Handajega","Wet","Wild",3,"Wet_W3","Wet_W3_CG1","Open","Green","G858",2.104,1.854,5.51,1.752,0.697,0.547,0.504,7.136,0.468,"03.02.2017","20.03.2017",45,1.308,1.284,13.8,17.4,"O",1,20.3,26.25,-2.439403972,34.83840496,"NO","NO","YES",0.209969212,NA,73.2876712328767,0.17,2.32,58.73,13.64705882,0.585,25.96,8.92,65.12,"sandy clay loam",1.61,24.343532,19.893088,55.466172,184.8119371,"Handajega"
"1560",1560,"CG","Wet",216,"Handajega","Wet","Wild",4,"Wet_W4","Wet_W4_CG2","Open","Green","G755",2.019,1.769,5.51,1.672,0.887,0.736,0.668,8.301,0.613,"03.02.2017","20.03.2017",45,1.033,1.059,5.13,5.13,"O",1,20.65,25.05,-2.439645035,34.83836599,"YES","YES","YES",0.021715224,NA,63.3373205741627,0.14,1.73,52.65,12.35714286,NA,25.96,8.92,65.12,"sandy clay loam",1.7,24.343532,19.893088,55.466172,184.8119371,"Handajega"
"1561",1561,"CG","Wet",217,"Seronera","Intermediate","Wild",1,"Local1","Local1_CG1","Open","Green","G795",1.953,1.703,5.51,1.609,0.781,0.63,0.571,8.998,0.52,"03.02.2017","20.03.2017",45,1.073,1.089,13.8,17.4,"O",1,20.05,25.5,-2.439403972,34.83840496,"NO","NO","YES",0.231786804,NA,67.6817899316346,0.14,1.64,27.86,11.71428571,0.3875,29.08,7.2,63.73,"sandy clay loam",1.1,28.521836,18.49318,53.898113,175.2158954,"Seronera"
"1562",1562,"CG","Wet",218,"Seronera","Intermediate","Wild",2,"Local2","Local2_CG2","Open","Green","G251",2.054,1.804,5.51,1.705,0.757,0.606,0.562,12.854,0.489,"03.02.2017","20.03.2017",45,1.198,1.215,5.13,5.13,"O",1,22.1,24.5,-2.439645035,34.83836599,"NO","NO","YES",0.156028626,NA,71.3196480938416,0.18,2.19,38.49,12.16666667,NA,21.07,7.31,71.62,"sandy clay loam",1.45,17.794844,18.582709,62.798822,175.2158954,"Seronera"
"1563",1563,"CG","Wet",219,"Seronera","Intermediate","Wild",3,"Local3","Local3_CG3","Open","Green","G727",2.027,1.777,5.51,1.679,0.707,0.556,0.5,11.604,0.442,"03.02.2017","19.03.2017",44,1.221,1.237,7.9,7.9,"O",1,21.75,27.55,-2.439599019,34.83841896,"NO","YES","YES",0.142842135,NA,73.6748064324002,0.16,2.29,46.43,14.3125,NA,21.96,4.92,73.12,"sandy clay loam",1.4,18.986732,16.637488,64.490972,175.2158954,"Seronera"
"1564",1564,"CG","Wet",220,"Seronera","Intermediate","Wild",4,"Local4","Local4_CG4","Open","Green","G782",1.951,1.701,5.51,1.607,0.617,0.466,0.463,11.046,0.412,"03.02.2017","19.03.2017",44,1.235,1.196,15.2,12.2,"O",1,20.85,27.95,-2.439694991,34.83857403,"NO","NO","YES",0.12835432,NA,74.3621655258245,0.12,1.62,31.4,13.5,NA,15.96,6.92,77.12,"sandy loam",0.61,10.951532,18.265288,69.003372,175.2158954,"Seronera"
"1565",1565,"CG","Wet",193,"Makao","Dry","Agriculture",1,"Dry_Ag1","Dry_Ag1_CG4","Open","Rooibos","R125",2.204,1.954,5.51,1.846,1.227,1.076,1.009,4.838,0.96,"03.02.2017","19.03.2017",44,0.878,0.886,15.2,12.2,"O",1,22.4,28.95,-2.439694991,34.83857403,"NO","NO","NO",NA,0.082053069,47.9956663055255,0.15,1.88,14.23,12.53333333,NA,12.57,0.97,86.47,"loamy sand",1.02,6.411644,13.422583,79.551107,204.2116611,"Makao.ag"
"1566",1566,"CG","Wet",194,"Makao","Dry","Agriculture",2,"Dry_Ag2","Dry_Ag2_CG3","Open","Rooibos","R289",2.216,1.966,5.51,1.858,1.512,1.361,1.258,3.518,1.214,"03.02.2017","19.03.2017",44,0.605,0.644,7.9,7.9,"O",1,19.6,29.3,-2.439599019,34.83841896,"NO","NO","YES",NA,0.02453147,34.6609257265877,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"1567",1567,"CG","Wet",195,"Makao","Dry","Agriculture",3,"Dry_Ag3","Dry_Ag3_CG2","Open","Rooibos","R378",2.232,1.982,5.51,1.873,1.53,1.379,1.269,1.234,1.253,"03.02.2017","20.03.2017",45,0.603,0.62,5.13,5.13,"O",1,29.7,24.35,-2.439645035,34.83836599,"YES","NO","YES",NA,0.02405094,33.1019754404698,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"1568",1568,"CG","Wet",196,"Makao","Dry","Agriculture",4,"Dry_Ag4","Dry_Ag4_CG1","Open","Rooibos","R375",2.23,1.98,5.51,1.871,1.374,1.224,1.152,5.031,1.094,"03.02.2017","20.03.2017",45,0.757,0.777,13.8,17.4,"O",1,23.75,25.25,-2.439403972,34.83840496,"NO","NO","NO",NA,0.038349662,41.5285943345804,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"1569",1569,"CG","Wet",197,"Makao","Dry","Pasture",1,"Dry_P1","Dry_P1_CG2","Open","Rooibos","R219",2.216,1.966,5.51,1.858,1.579,1.428,1.366,11.48,1.209,"03.02.2017","20.03.2017",45,0.538,0.648,5.13,5.13,"O",1,22.85,24.4,-2.439645035,34.83836599,"YES","YES","YES",NA,0.02895838,34.9300322927879,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"1570",1570,"CG","Wet",198,"Makao","Dry","Pasture",2,"Dry_P2","Dry_P2_CG3","Open","Rooibos","R463",2.158,1.908,5.51,1.803,1.549,1.398,1.319,7.707,1.217,"03.02.2017","19.03.2017",44,0.51,0.586,7.9,7.9,"O",1,20.9,27.45,-2.439599019,34.83841896,"NO","NO","NO",NA,0.023502247,32.5013865779257,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"1571",1571,"CG","Wet",199,"Makao","Dry","Pasture",3,"Dry_P3","Dry_P3_CG1","Open","Rooibos","R339",2.214,1.964,5.51,1.856,1.616,1.465,1.355,3.639,1.306,"03.02.2017","20.03.2017",45,0.499,0.55,13.8,17.4,"O",1,18.15,24.55,-2.439403972,34.83840496,"NO","NO","YES",NA,0.017942112,29.6336206896552,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"1572",1572,"CG","Wet",200,"Makao","Dry","Pasture",4,"Dry_P4","Dry_P4_CG4","Open","Rooibos","R303",2.249,1.999,5.51,1.889,1.565,1.415,1.363,4.441,1.302,"03.02.2017","19.03.2017",44,0.585,0.586,15.2,12.2,"O",1,22.8,27.9,-2.439694991,34.83857403,"NO","NO","YES",NA,0.023894358,31.0746426680783,0.17,2.15,3.04,12.64705882,NA,25.96,6.92,67.12,"sandy clay loam",1.76,24.343532,18.265288,57.722372,204.2116611,"Makao.p"
"1573",1573,"CG","Wet",201,"Maswa","Dry","Wild",3,"Dry_W3","Dry_W3_CG4","Open","Rooibos","R218",2.231,1.981,5.51,1.872,1.593,1.442,1.421,3.301,1.374,"03.02.2017","19.03.2017",44,0.539,0.498,15.2,12.2,"O",1,22,28,-2.439694991,34.83857403,"NO","NO","YES",NA,0.018091034,26.6025641025641,0.22,2.55,65.92,11.59090909,1.2,38.69,26.81,34.5,"clay loam",2.55,41.391548,34.453759,20.92375,189.6394726,"Maswa"
"1574",1574,"CG","Wet",202,"Maswa","Dry","Wild",2,"Dry_W2","Dry_W2_CG1","Open","Rooibos","R135",2.286,2.036,5.51,1.924,1.642,1.491,1.378,3.92,1.324,"03.02.2017","20.03.2017",45,0.545,0.6,13.8,17.4,"O",1,20.65,24.1,-2.439403972,34.83840496,"NO","NO","YES",NA,0.031462346,31.1850311850312,0.27,3.12,51.82,11.55555556,NA,45.27,23.6,31.12,"clay",2.05,50.203484,31.84114,17.110772,189.6394726,"Maswa"
"1575",1575,"CG","Wet",203,"Maswa","Dry","Wild",1,"Dry_W1","Dry_W1_CG2","Open","Rooibos","R372",2.202,1.952,5.51,1.845,1.621,1.471,1.389,4.196,1.331,"03.02.2017","20.03.2017",45,0.482,0.513,5.13,5.13,"O",1,27,28.4,-2.439645035,34.83836599,"NO","YES","NO",NA,0.019246801,27.8590785907859,0.23,2.96,11.19,12.86956522,0.33,47.96,22.92,29.12,"clay",2.88,53.805932,31.287688,14.854572,189.6394726,"Maswa"
"1576",1576,"CG","Wet",204,"Maswa","Dry","Wild",4,"Dry_W4","Dry_W4_CG3","Open","Rooibos","R334",2.142,1.892,5.51,1.788,1.544,1.393,1.338,5.464,1.265,"03.02.2017","19.03.2017",44,0.499,0.523,7.9,7.9,"O",1,21.6,30.95,-2.439599019,34.83841896,"NO","NO","YES",NA,0.020541976,29.2505592841163,0.22,2.84,14.23,12.90909091,NA,28.15,25.09,46.77,"sandy clay loam",2.17,27.27638,33.053851,34.765537,189.6394726,"Maswa"
"1577",1577,"CG","Wet",205,"Mwantimba","Wet","Agriculture",1,"Wet_Ag1","Wet_Ag1_CG2","Open","Rooibos","R265",2.221,1.971,5.51,1.862,1.668,1.518,1.404,13.867,1.209,"03.02.2017","20.03.2017",45,0.454,0.653,5.13,5.13,"O",1,24.45,26.3,-2.439645035,34.83836599,"NO","NO","YES",NA,0.026122525,35.0698174006445,0.13,1.56,32.75,12,NA,45.96,14.92,39.12,"clay",2.04,51.127532,24.776488,26.135572,206.8173452,"Mwantimba.ag"
"1578",1578,"CG","Wet",206,"Mwantimba","Wet","Agriculture",2,"Wet_Ag2","Wet_Ag2_CG1","Open","Rooibos","R234",2.194,1.944,5.51,1.837,1.741,1.59,1.468,9.99,1.321,"03.02.2017","20.03.2017",45,0.354,0.516,13.8,17.4,"O",1,19.05,24.15,-2.439403972,34.83840496,"NO","NO","NO",NA,0.018272746,28.0892759934676,0.14,1.83,64.81,13.07142857,NA,34.34,19.23,46.43,"sandy clay loam",1.75,35.566028,28.284397,34.381983,206.8173452,"Mwantimba.ag"
"1579",1579,"CG","Wet",207,"Mwantimba","Wet","Agriculture",3,"Wet_Ag3","Wet_Ag3_CG4","Open","Rooibos","R258",2.17,1.92,5.51,1.814,1.582,1.431,1.305,16.262,1.092,"03.02.2017","19.03.2017",44,0.489,0.722,15.2,12.2,"O",1,19.8,29.05,-2.439694991,34.83857403,"YES","YES","NO",NA,0.034234491,39.8015435501654,0.09,0.99,12.44,11,NA,27.96,4.92,67.12,"sandy clay loam",0.89,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.ag"
"1580",1580,"CG","Wet",208,"Mwantimba","Wet","Agriculture",4,"Wet_Ag4","Wet_Ag4_CG3","Open","Rooibos","R344",2.153,1.903,5.51,1.798,1.476,1.325,1.243,8.531,1.137,"03.02.2017","19.03.2017",44,0.578,0.661,7.9,7.9,"O",1,22.2,27.45,-2.439599019,34.83841896,"NO","NO","YES",NA,0.041846386,36.7630700778643,0.12,1.43,12.58,11.91666667,NA,17.96,4.92,77.12,"sandy loam",2.02,13.629932,16.637488,69.003372,206.8173452,"Mwantimba.ag"
"1581",1581,"CG","Wet",209,"Mwantimba","Wet","Pasture",1,"Wet_P1","Wet_P1_CG2","Open","Rooibos","R271",2.283,2.033,5.51,1.921,1.754,1.603,1.477,9.06,1.343,"03.02.2017","20.03.2017",45,0.43,0.578,5.13,5.13,"O",1,24.5,24.4,-2.439645035,34.83836599,"NO","NO","YES",NA,0.019078264,30.0884955752212,0.18,2.19,32.2,12.16666667,1.3,31.21,11.38,57.41,"sandy clay loam",1.73,31.374332,21.895282,46.768521,206.8173452,"Mwantimba.p"
"1582",1582,"CG","Wet",210,"Mwantimba","Wet","Pasture",2,"Wet_P2","Wet_P2_CG4","Open","Rooibos","R340",2.213,1.963,5.51,1.855,1.62,1.469,1.39,10.542,1.243,"03.02.2017","19.03.2017",44,0.494,0.612,15.2,12.2,"O",1,22.4,28.4,-2.439694991,34.83857403,"NO","NO","YES",NA,0.028562388,32.9919137466307,0.19,2.07,15.06,10.89473684,NA,33.96,8.92,57.12,"sandy clay loam",2.07,35.057132,19.893088,46.441372,206.8173452,"Mwantimba.p"
"1583",1583,"CG","Wet",211,"Mwantimba","Wet","Pasture",3,"Wet_P3","Wet_P3_CG1","Open","Rooibos","R381",2.235,1.985,5.51,1.876,1.528,1.377,1.236,10.113,1.111,"03.02.2017","20.03.2017",45,0.608,0.764,13.8,17.4,"O",1,16.85,23.95,-2.439403972,34.83840496,"NO","NO","YES",NA,0.041910914,40.7782515991471,0.17,2.29,29.99,13.47058824,0.69,39.96,12.92,47.12,"sandy clay",1.65,43.092332,23.148688,35.160372,206.8173452,"Mwantimba.p"
"1584",1584,"CG","Wet",215,"Mwantimba","Wet","Pasture",4,"Wet_P4","Wet_P4_CG3","Open","Rooibos","R93",2.171,1.921,5.51,1.815,1.583,1.433,1.35,7.237,1.252,"03.02.2017","19.03.2017",44,0.489,0.563,7.9,7.9,"O",1,22.45,27.45,-2.439599019,34.83841896,"YES","NO","YES",NA,0.026901674,31.0192837465565,0.16,2.41,49.2,15.0625,NA,27.96,4.92,67.12,"sandy clay loam",1.04,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.p"
"1585",1585,"CG","Wet",212,"Handajega","Wet","Wild",1,"Wet_W1","Wet_W1_CG4","Open","Rooibos","R88",2.152,1.902,5.51,1.797,1.542,1.391,1.284,3.54,1.238,"03.02.2017","19.03.2017",44,0.511,0.559,15.2,12.2,"O",1,19.75,28.15,-2.439694991,34.83857403,"NO","NO","YES",NA,0.021700344,31.1074012242627,0.11,1.46,39.25,13.27272727,0.59,21.96,4.92,73.12,"sandy clay loam",1.24,18.986732,16.637488,64.490972,184.8119371,"Handajega"
"1586",1586,"CG","Wet",213,"Handajega","Wet","Wild",2,"Wet_W2","Wet_W2_CG3","Open","Rooibos","R383",2.234,1.984,5.51,1.875,1.587,1.436,1.354,4.714,1.291,"03.02.2017","19.03.2017",44,0.548,0.584,7.9,7.9,"O",1,19.45,29.2,-2.439694991,34.83857403,"NO","NO","YES",NA,0.023322682,31.1466666666667,0.12,1.88,55.14,15.66666667,NA,23.96,4.92,71.12,"sandy clay loam",3.31,21.665132,16.637488,62.234772,184.8119371,"Handajega"
